Date,Open,High,Low,Close,Volume
2021-01-01,102.32213760483899,102.8854464131724,98.98015093662715,102.48357076505616,4487924
2021-01-02,99.7975113513028,102.10241363675256,97.97036106463707,99.64024097067062,1772838
2021-01-03,99.90508955416806,107.92580054651913,99.90508955416806,103.90149092323227,1261420
2021-01-04,110.44218520250311,110.44218520250311,107.23726375918265,108.60952985309815,1477843
2021-01-05,100.84769291768889,102.3444221335033,98.44275483981498,100.1547159658929,5529943
2021-01-06,102.4816138893516,102.4816138893516,97.06706232448427,100.48559366963231,5552538
2021-01-07,104.09024424414251,112.30864220672292,104.09024424414251,109.88275500052988,2825260
2021-01-08,110.33056692175084,110.33056692175084,102.8768521261012,106.15381751218939,5775833
2021-01-09,100.01950985617634,101.65720220344238,97.96066563138497,100.29868911248668,5187694
2021-01-10,107.9040322181449,108.17553886954094,104.89468823252709,105.68766658466987,4099834
2021-01-11,98.90608362002088,104.79024358405869,98.90608362002088,100.98589547427194,7771158
2021-01-12,102.5272371015603,103.11078549970787,97.62529626422696,101.30168929143517,4564507
2021-01-13,103.0598334900626,107.8864225585581,103.0598334900626,105.16666461640992,5299489
2021-01-14,93.46851516956183,95.42278013308227,93.46851516956183,94.71605309095344,4182132
2021-01-15,99.81053982084714,99.81053982084714,92.84516257074884,95.98247711311357,4440863
2021-01-16,101.73781203818733,104.5915831175944,99.7806239634281,102.11917683971402,8986322
2021-01-17,100.62373474846942,103.67298503064593,99.12679457864637,100.18886900210997,7637448
2021-01-18,108.8855947502995,109.50107263770767,104.92883431351738,107.145459288922,8135580
2021-01-19,102.345378307253,103.04095650078465,100.37976721494807,101.3540145313078,5802738
2021-01-20,99.45200749449083,101.15046108962703,96.05034828578107,99.15116968420368,7779651
2021-01-21,114.58797546301601,114.60764572411384,110.79668249321043,113.85805345808356,8871490
2021-01-22,110.52337641144275,110.52337641144275,103.18453904214425,105.7165452409662,1144375
2021-01-23,107.38187102328958,110.37944167968016,105.13544755610972,107.49710861735674,8673919
2021-01-24,100.7503178086008,101.89602938233779,96.5869315903035,100.34811971517087,6713948
2021-01-25,107.16193004013012,107.16193004013012,103.06093492072668,105.0606212481149,5229491
2021-01-26,110.8570845625265,110.91191092626258,107.82790682203134,108.64603269661053,9060426
2021-01-27,105.01753801403663,105.01753801403663,100.19400349008357,102.64347740291588,6183584
2021-01-28,111.85949259622302,112.51589953753883,106.49598510262754,110.58203215216466,6911993
2021-01-29,103.71743792061181,110.10316953523929,103.71743792061181,106.00344774607278,4183818
2021-01-30,111.11606874075866,111.11606874075866,106.21066844285046,107.84920567615647,2518560
2021-01-31,104.30535024431606,108.23970087833221,104.18159499225199,106.59804103035344,2894420
2021-02-01,119.76993502389543,120.5171222877822,117.21856894242309,119.16466409341736,8069222
2021-02-02,108.62166746885826,112.87441114039692,108.62166746885826,110.13021916889699,8658206
2021-02-03,105.07297342100118,107.02002594096906,102.07939225795668,105.20125011418716,1541797
